d,f,c,thre_inc,n_modes,n_fvs,svm_acc,svm_std,lda_acc,lda_std
1,1,0,70,8,2216,0.9889,0.0333,1.0000,0.0000
1,1,0,70,10,2770,0.9789,0.0423,0.9889,0.0333
1,1,1,60,20,7100,0.9689,0.0476,0.9589,0.0504
1,0,1,70,18,4986,0.9689,0.0476,0.9789,0.0423
1,1,0,70,14,3878,0.9689,0.0476,0.9689,0.0476
1,1,1,70,4,1660,0.9689,0.0476,0.9789,0.0423
1,1,1,70,8,3320,0.9689,0.0476,0.9800,0.0400
1,0,1,70,20,5540,0.9689,0.0476,0.9789,0.0423
0,1,1,70,24,6648,0.9700,0.0458,0.9700,0.0458
1,1,0,70,18,4986,0.9689,0.0476,0.9889,0.0333
1,1,0,70,20,5540,0.9789,0.0423,0.9789,0.0423
1,1,1,70,10,4150,0.9689,0.0476,0.9889,0.0333
1,0,1,70,24,6648,0.9689,0.0476,0.9789,0.0423
1,1,1,60,24,8520,0.9789,0.0423,0.9889,0.0333
1,1,1,70,14,5810,0.9689,0.0476,0.9689,0.0476
1,1,0,70,24,6648,0.9889,0.0333,0.9889,0.0333
1,1,1,70,18,7470,0.9689,0.0476,0.9789,0.0423
1,1,1,70,20,8300,0.9689,0.0476,0.9189,0.0752
1,1,1,70,24,9960,0.9689,0.0476,0.9789,0.0423
