d,f,c,thre_inc,n_modes,svm_acc,svm_std,lda_acc,lda_std
1,1,0,45,14,0.8933,0.0484,0.8683,0.0513
1,1,0,50,14,0.8967,0.0306,0.8783,0.0522
1,1,0,10,16,0.8750,0.0518,0.8383,0.0538
1,1,0,20,16,0.8817,0.0425,0.8650,0.0535
1,1,0,25,16,0.8900,0.0351,0.8567,0.0501
1,1,0,30,16,0.8950,0.0527,0.8717,0.0573
1,1,0,35,16,0.8833,0.0394,0.8650,0.0545
1,1,0,40,16,0.8900,0.0318,0.8600,0.0461
1,1,0,45,16,0.8933,0.0351,0.8783,0.0506
1,1,0,50,16,0.8933,0.0382,0.8717,0.0548
1,1,0,10,18,0.8800,0.0440,0.8400,0.0578
1,1,0,20,18,0.8900,0.0448,0.8483,0.0608
1,1,0,25,18,0.8900,0.0382,0.8667,0.0641
1,1,0,30,18,0.8783,0.0472,0.8717,0.0601
1,1,0,35,18,0.8783,0.0448,0.8667,0.0587
1,1,0,40,18,0.8800,0.0407,0.8650,0.0570
1,1,0,45,18,0.8833,0.0373,0.8650,0.0560
1,1,0,50,18,0.8950,0.0395,0.8700,0.0547
1,1,0,10,20,0.8700,0.0470,0.8467,0.0547
1,1,0,20,20,0.8817,0.0361,0.8583,0.0473
1,1,0,25,20,0.8917,0.0410,0.8667,0.0516
1,1,0,30,20,0.8800,0.0493,0.8700,0.0572
1,1,0,35,20,0.8983,0.0474,0.8667,0.0563
1,1,0,40,20,0.8967,0.0476,0.8700,0.0531
1,1,0,45,20,0.9033,0.0348,0.8733,0.0593
1,1,0,50,20,0.8950,0.0366,0.8733,0.0507
1,1,1,10,4,0.8733,0.0533,0.8367,0.0440
1,1,1,20,4,0.8800,0.0393,0.8400,0.0507
1,1,1,25,4,0.8883,0.0428,0.8417,0.0507
1,1,1,30,4,0.8800,0.0414,0.8400,0.0507
1,1,1,35,4,0.8733,0.0554,0.8467,0.0510
1,1,1,40,4,0.8700,0.0446,0.8467,0.0433
1,1,1,45,4,0.8733,0.0403,0.8467,0.0440
1,1,1,50,4,0.8733,0.0403,0.8483,0.0508
1,1,1,10,6,0.8800,0.0314,0.8400,0.0429
1,1,1,20,6,0.8867,0.0452,0.8500,0.0537
1,1,1,25,6,0.8867,0.0364,0.8600,0.0461
1,1,1,30,6,0.8983,0.0337,0.8600,0.0484
1,1,1,35,6,0.8833,0.0357,0.8583,0.0455
1,1,1,40,6,0.8967,0.0393,0.8583,0.0436
1,1,1,45,6,0.8817,0.0369,0.8583,0.0430
1,1,1,50,6,0.8900,0.0318,0.8617,0.0483
1,1,1,10,8,0.8767,0.0448,0.8400,0.0436
1,1,1,20,8,0.8867,0.0433,0.8550,0.0388
1,1,1,25,8,0.8867,0.0379,0.8533,0.0440
1,1,1,30,8,0.8767,0.0507,0.8533,0.0446
1,1,1,35,8,0.8800,0.0400,0.8650,0.0383
1,1,1,40,8,0.8783,0.0366,0.8617,0.0289
1,1,1,45,8,0.8917,0.0367,0.8650,0.0444
1,1,1,50,8,0.8817,0.0486,0.8733,0.0403
1,1,1,10,10,0.8983,0.0329,0.8550,0.0466
1,1,1,20,10,0.8717,0.0350,0.8467,0.0557
1,1,1,25,10,0.8733,0.0374,0.8517,0.0425
1,1,1,30,10,0.8767,0.0461,0.8550,0.0506
